Avg Overall Claim Amount by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
223                                                CUPRA           1453.865370
275                                           Deutz Fahr           1450.000000
186                                          CICLOMOTORE           1445.940000
991                                            VOLVO F10           1445.000000
1069                                             carraro           1445.000000
716                                         OPEL CORSA 1           1439.666667
1150                                     mercedes - benz           1437.000000
1058                                         autobianchi           1436.000000
1016                                                Voge           1432.500000
130                                              BREMACH           1430.194545
302                                            FD MOTORS           1429.666667
277                                       E-TUCK FACTORY           1427.000000
690                                                  NEW           1419.986667
1121                                          john deere           1418.600000
540                                                KYMKO           1416.666667
940                                              TRIGANO           1415.572500
477                                            INNOCENTI           1413.624000
490                                      IVECO EUROCARGO           1412.705000
705                                                  NOX           1409.000000
182                                             CHRYSLER           1405.608704
350                                           FIAT PUNTO           1401.921667
1136                                          lombardini           1400.000000
8                                              A/R 146 L           1400.000000
1079                                       citroen xsara           1400.000000
354                                         FIAT Palio 1           1400.000000
964                                               VANARA           1400.000000
853                                           SEAT IBIZA           1400.000000
526                                          KNAUSTABBER           1400.000000
118                                            BETAMOTOR           1399.880000
497                                          J.C.BAMFORD           1397.490000
113                                             BERLINGO           1396.000000
84                                               AUTOBUS           1394.500000
411                                                  GAC           1392.740000
771                                               QUADRO           1387.334000
827                                             S.D.F.I.           1386.172500
811                                                ROVER           1383.587419
248                                                DERBI           1383.416667
443                                                HAVAL           1379.462000
1157                                          mitsubishi           1379.134615
718                                         OPEL Corsa 1           1376.248000
790                                         RENAULT CLIO           1372.308000
1039                                     Xiamen Xiashing           1362.500000
210                                                  CNH           1362.100000
427                                           GREAT WALL           1361.545882
408                                                 Fiat           1360.454375
1052                                                alfa           1360.000000
149                                              CARRARO           1358.586111
843                                              SANYANG           1355.000000
1120                                                jeep           1351.625000
49                                          ALFA 156 1.8           1350.540000
274                                                Derbi           1350.000000
1151                                       mercedes benz           1342.805000
933                                             TRATTORE           1341.727143
217                                               COMACA           1339.333333
1127                                         lamborghini           1337.500000
198                                         CITROEN SAXO           1332.695000
706                                          New Holland           1332.000000
895                                              Seat Mo           1331.720000
963                                               VALTRA           1331.540000
183                                    CHRYSLER (USA) YJ           1330.000000
1023                                                WOLK           1330.000000
163                                                  CCM           1323.000000
1047                                    Zero Motorcycles           1320.000000
220                                               CRESCI           1319.500000
719                                          OPEL Meriva           1310.885000
122                                           BLUE DREAM           1302.000000
369                                          FIAT Uno 55           1300.000000
341                                           FIAT IVECO           1298.947778
857                                               SHERCO           1298.000000
800                                         RENAULT V.I.           1292.075000
842                                              SANTANA           1288.366667
