Civil Liability Claims by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  NUMBER_OF_CLAIMS
694                          RVK                 1
696                       Reform                 1
226                    DUCATI B2                 1
220          DONGFENG MOTOR CORP                 1
218                       DOBLO'                 1
699                Royal Enfield                 1
700                   S  L H 874                 1
701                    S L K 874                 1
217                    DISCOVERY                 1
223                       DRESEL                 1
686                  ROLLS ROYCE                 1
704                        SACAR                 1
676                 RENAULT MODU                 1
670                 RENAULT 180.                 1
234               E-TUCK FACTORY                 1
672                 RENAULT Clio                 1
673                 RENAULT Kang                 1
232                   Deutz Fahr                 1
675                 RENAULT M GA                 1
677                 RENAULT Modu                 1
685                  ROLLER TIME                 1
231                        Derbi                 1
679                   RENAULT TW                 1
230                          Daf                 1
681                      RENEULT                 1
229                        DURSO                 1
684                       RNURFB                 1
216                    DIECI SRL                 1
706                   SAME 35 QL                 1
668                       RENAUL                 1
736                  SKODA SUPER                 1
422           JAGUAR LANDO ROVER                 1
188                          CPI                 1
732                    SIMPA JDM                 1
187                   COMACA SRL                 1
185                           CO                 1
735                 SKODA Felici                 1
737                          SLH                 1
191                    CYHATENET                 1
184                          CNN                 1
740                SMART FORFOUR                 1
178                          CMC                 1
744                        START                 1
177                    CLASS 583                 1
175           CLAAS TRACTORS SAS                 1
189                       CRESCI                 1
726                        SENKE                 1
707                     SAME 360                 1
715                      SAMSUNG                 1
214                         DEUZ                 1
211                 DEUTZ - FAHR                 1
711              SAME DEUTZ FAHR                 1
712              SAME DEUTZ-FAHR                 1
713   SAME DEUTZ-FAHR ITALIA SPA                 1
714                 SAME EXPL 70                 1
208                DEERE COMPANY                 1
725                SEMIRIMORCHIO                 1
206           DAIMLERCHRYSLER AG                 1
718                 SARA PICASSO                 1
205              DAIMLERCHRYSLER                 1
203         DAIMLER CHRYSLER JEE                 1
197                 DAEWOO Lanos                 1
193                  Ciclomotore                 1
235                           E3                 1
667                      RENAUKT                 1
274                  FIAT 640 DT                 1
620                    PANDA 4X4                 1
614                        OZETA                 1
615                         Opel                 1
616                        Orcal                 1
617                         Over                 1
618                       PAJERO                 1
257                        FE.BA                 1
621                        PAOLO                 1
612                  OPEL Zafira                 1
622                      PAQUALI                 1
623                     PASQUALI                 1
624                   PAYERO GLS                 1
625                   PEDA MOTOR                 1
626                      PEGEOUT                 1
627                      PELLENC                 1
613                        OPERL                 1
611                  OPEL ZAFIRA                 1
629                       PEUGEO                 1
599                       Nissan                 1
591                 NISSAN DATSU                 1
592                  NISSAN JUKE                 1
272                      FIAT 55                 1
271                    FIAT 500L                 1
268                     FIAT 100                 1
598                  New Holland                 1
600                        OELLE                 1
608                 OPEL CORSA S                 1
266                          FIA                 1
602                         OMAI                 1
265                     FHYUNDAY                 1
604                   OPEL ASTRA                 1
262                     FERGUSON                 1
606                 OPEL Astra 1                 1
256                    FD Motors                 1
254                          FCA                 1
666                   REN.MEGANE                 1
658                  RANGE ROVER                 1
240                      ERREPPI                 1
653          QUADRICICLO LEGGERO                 1
654           QUADRICICLO LIGIER                 1
238               ELLEBI LB 1213                 1
656                       R.V.M.                 1
236                      ECOOTER                 1
659                       RAPIDO                 1
242                    ETRIKOSKG                 1
660                          RAV                 1
661                        RAV 4                 1
662                      REANULT                 1
663                       REFORM                 1
664                  REFORMWERKE                 1
665                 REGAL RAPTOR                 1
651                         QUAD                 1
243                         EURO                 1
632                  PEUGEOT 206                 1
639                  PININFARINA                 1
633                  PEUGEOT 306                 1
