Avg Civil Liability Claim Amount by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
148                     CHATANET           1445.000000
330                 FORD Foc 1.6           1441.500000
607                 OPEL CORSA 1           1439.666667
745                        STEYR           1437.475000
979              mercedes - benz           1437.000000
899                  autobianchi           1436.000000
234               E-TUCK FACTORY           1427.000000
952                   john deere           1418.600000
458                        KYMKO           1416.666667
597                          NOX           1409.000000
172                        CLAAS           1407.000000
297                   FIAT PUNTO           1401.921667
965                   lombardini           1400.000000
724                   SEAT IBIZA           1400.000000
917                citroen xsara           1400.000000
821                       VANARA           1400.000000
8                      A/R 146 L           1400.000000
301                 FIAT Palio 1           1400.000000
420                  J.C.BAMFORD           1397.490000
97                      BERLINGO           1396.000000
75                       AUTOBUS           1394.500000
698                        Rieju           1394.000000
466                     LAMBORGH           1393.400000
348                          GAC           1392.740000
209                        DERBI           1383.416667
718                 SARA PICASSO           1364.000000
882              Xiamen Xiashing           1362.500000
179                          CNH           1362.100000
893                         alfa           1360.000000
717                      SANYANG           1355.000000
464                        LAIKA           1353.000000
264                      FERRARI           1352.500000
951                         jeep           1351.625000
47                  ALFA 156 1.8           1350.540000
231                        Derbi           1350.000000
795            TRATTORE AGRICOLO           1346.208000
1031                          vw           1344.473333
186                       COMACA           1339.333333
376                        HAVAL           1338.571429
957                  lamborghini           1337.500000
598                  New Holland           1332.000000
759                      Seat Mo           1331.720000
869                         WOLK           1330.000000
864                         Voge           1326.666667
140                          CCM           1323.000000
665                 REGAL RAPTOR           1320.000000
889             Zero Motorcycles           1320.000000
189                       CRESCI           1319.500000
610                  OPEL Meriva           1310.885000
106                   BLUE DREAM           1302.000000
315                  FIAT Uno 55           1300.000000
226                    DUCATI B2           1300.000000
728                       SHERCO           1298.000000
239                          EMC           1282.666667
751                 SUZUKI Jimny           1273.500000
760                        Senke           1270.000000
194                      Citroen           1266.000000
175           CLAAS TRACTORS SAS           1265.000000
715                      SAMSUNG           1263.000000
619                        PANDA           1257.700000
800                  TRIGANO SPA           1256.000000
33           AIXAM MEGA K 34V BR           1250.000000
261                         FENT           1245.000000
127                        CARON           1244.228571
383                    HONDA CBR           1241.500000
486                       LIDIER           1240.586667
70                  AUDI A4 1.9/           1240.000000
